2026-06-21 09:36:49,444 [INFO] Loaded 7 channel URL(s) from channels.txt
2026-06-21 09:36:49,444 [INFO] === Channel: HekayatWaZekrayat (https://www.youtube.com/@HekayatWaZekrayat/featured) ===
2026-06-21 09:36:49,444 [INFO] Enumerating videos: https://www.youtube.com/@HekayatWaZekrayat/featured
2026-06-21 09:36:50,427 [INFO]   Found 0 unique video IDs
2026-06-21 09:36:50,427 [WARNING] No videos found for https://www.youtube.com/@HekayatWaZekrayat/featured
2026-06-21 09:36:50,427 [INFO] === Channel: DramaBoxComedy-jg1mu (https://www.youtube.com/@DramaBoxComedy-jg1mu) ===
2026-06-21 09:36:50,427 [INFO] Enumerating videos: https://www.youtube.com/@DramaBoxComedy-jg1mu
2026-06-21 09:37:13,225 [INFO]   Found 2145 unique video IDs
2026-06-21 09:37:13,225 [INFO]   2145 to fetch, 0 already done
2026-06-21 09:37:14,878 [INFO]   [DramaBoxComedy-jg1mu] _32qO8kiqVI: ✓ saved (ar, 339 cues)
2026-06-21 09:37:14,942 [INFO]   [DramaBoxComedy-jg1mu] Ed-mLNMi954: ✓ saved (ar, 457 cues)
2026-06-21 09:37:15,088 [INFO]   [DramaBoxComedy-jg1mu] VIF4_DSYACY: ✓ saved (ar, 3634 cues)
2026-06-21 09:37:16,582 [INFO]   [DramaBoxComedy-jg1mu] Z1PsupCA-cg: ✓ saved (ar, 301 cues)
2026-06-21 09:37:16,688 [INFO]   [DramaBoxComedy-jg1mu] cKvBy5JZSx0: ✓ saved (ar, 2350 cues)
2026-06-21 09:37:16,739 [INFO]   [DramaBoxComedy-jg1mu] 7eJmm9PchFw: ✓ saved (ar, 245 cues)
2026-06-21 09:37:18,333 [INFO]   [DramaBoxComedy-jg1mu] w5ar3wBoRl8: ✓ saved (ar, 640 cues)
2026-06-21 09:37:18,345 [INFO]   [DramaBoxComedy-jg1mu] MZGhj1agKU0: ✓ saved (ar, 374 cues)
2026-06-21 09:37:18,494 [INFO]   [DramaBoxComedy-jg1mu] 2SWSmDjiXkE: ✓ saved (ar, 3633 cues)
2026-06-21 09:37:20,089 [INFO]   [DramaBoxComedy-jg1mu] _pOi1pOlOfY: ✓ saved (ar, 672 cues)
2026-06-21 09:37:20,098 [INFO]   [DramaBoxComedy-jg1mu] qsjSSD14Rf0: ✓ saved (ar, 253 cues)
2026-06-21 09:37:20,172 [INFO]   [DramaBoxComedy-jg1mu] wGj9fui4HKQ: ✓ saved (ar, 503 cues)
2026-06-21 09:37:21,723 [INFO]   [DramaBoxComedy-jg1mu] IYjf_oucRkU: ✓ saved (ar, 472 cues)
2026-06-21 09:37:21,814 [INFO]   [DramaBoxComedy-jg1mu] sPNtPoFnsFo: ✓ saved (ar, 869 cues)
2026-06-21 09:37:21,967 [INFO]   [DramaBoxComedy-jg1mu] AJIG6JG6ChQ: ✓ saved (ar, 4208 cues)
2026-06-21 09:37:23,490 [INFO]   [DramaBoxComedy-jg1mu] pLDrV6g3cDQ: ✓ saved (ar, 1156 cues)
